,a,d,b,c,g,rmse,mae,mape
0.97,1.0000000000000002,-1.6178578744338832e-16,-10.20338339406657,13.357894779000565,0.2805300060346818,0.011136341262969434,0.009154348305682913,6.5783374593792034
1,,,,,,,,
1.03,,,,,,,,
1.06,,,,,,,,
1.09,,,,,,,,
1.12,,,,,,,,
1.15,,,,,,,,
1.18,,,,,,,,
1.21,,,,,,,,
1.225,,,,,,,,
1.24,,,,,,,,
1.27,1.0000000000000002,-2.2147858895001106e-16,-14.500013832828829,11.866759313440339,0.20697600963280324,0.005612839510330879,0.003934039937461121,3.150739813673182
